Timestamp,SS,ISO,EV,DZOOM,GPS_LON [°],GPS_LAT [°],GPS_ALT,D [m],H [m],H.S [m/s],V.S [m/s]
14000,405.64,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 0.50",0.50,0.00,-0.00
15000,396.95,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 0.50",0.50,0.00,-0.00
16000,492.96,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 1.30",1.30,0.00,1.80
17000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 2.70",2.70,0.00,1.40
18000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 4.30",4.30,0.00,1.70
19000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 6.20",6.20,0.00,2.10
20000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 8.30",8.30,0.00,2.10
21000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 10.60",10.60,0.00,2.30
22000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 12.90",12.90,0.00,2.30
23000,625.59,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 15.30",15.30,0.00,2.50
24000,639.28,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 18.00",18.00,0.00,2.60
25000,639.28,110,+0.7,1.000,34.5838,31.6873,9,"n/a, H 20.70",20.70,0.00,2.70
26000,639.28,110,+0.7,1.000,34.5838,31.6873,10,"n/a, H 23.50",23.50,0.10,2.80
27000,649.76,110,+0.7,1.000,34.5838,31.6873,10,"n/a, H 26.40",26.40,0.10,3.00
28000,653.28,110,+0.7,1.000,34.5838,31.6873,13,"n/a, H 29.40",29.40,0.10,2.90
29000,653.28,110,+0.7,1.000,34.5838,31.6873,14,"n/a, H 32.60",32.60,0.20,3.00
30000,667.59,110,+0.7,1.000,34.5838,31.6873,14,"n/a, H 35.70",35.70,0.28,3.00
31000,667.59,110,+0.7,1.000,34.5838,31.6873,14,"n/a, H 38.70",38.70,0.22,2.90
32000,667.59,110,+0.7,1.000,34.5838,31.6873,14,0.09,41.70,0.32,2.90
33000,671.21,110,+0.7,1.000,34.5838,31.6873,14,0.09,44.70,0.36,3.00
34000,671.21,110,+0.7,1.000,34.5838,31.6873,14,0.27,47.70,0.22,3.00
35000,671.21,110,+0.7,1.000,34.5838,31.6873,14,0.40,50.60,0.22,2.90
36000,671.21,110,+0.7,1.000,34.5838,31.6873,14,0.51,53.60,0.36,2.90
37000,685.91,110,+0.7,1.000,34.5838,31.6873,14,0.65,56.40,0.22,2.20
38000,685.91,110,+0.7,1.000,34.5838,31.6873,14,0.75,57.20,0.32,0.90
39000,685.91,110,+0.7,1.000,34.5838,31.6873,14,0.76,57.60,0.22,-0.00
40000,685.91,110,+0.7,1.000,34.5838,31.6873,14,0.86,57.60,0.22,-0.00
41000,685.91,110,+0.7,1.000,34.5838,31.6873,14,0.68,58.40,0.20,2.20
42000,685.91,110,+0.7,1.000,34.5838,31.6873,14,1.20,61.40,0.45,2.90
43000,685.91,110,+0.7,1.000,34.5838,31.6873,14,2.32,63.20,0.58,1.10
44000,685.91,110,+0.7,1.000,34.5838,31.6873,14,2.43,65.80,0.14,2.90
45000,685.91,110,+0.7,1.000,34.5838,31.6873,14,2.52,68.40,0.00,1.50
46000,685.91,110,+0.7,1.000,34.5838,31.6873,14,2.73,68.70,0.00,-0.00
47000,685.91,110,+0.7,1.000,34.5838,31.6873,14,2.02,68.70,0.32,-0.00
48000,685.91,110,+0.7,1.000,34.5838,31.6873,14,1.59,68.70,0.20,-0.00
49000,685.91,110,+0.7,1.000,34.5838,31.6873,13,2.82,68.60,2.28,-0.00
50000,685.91,110,+0.7,1.000,34.5839,31.6873,16,6.32,68.80,4.18,-0.00
51000,685.91,110,+0.7,1.000,34.5839,31.6873,16,11.32,68.80,5.47,-0.00
52000,685.91,110,+0.7,1.000,34.5840,31.6873,16,17.32,68.80,6.29,-0.00
53000,685.91,110,+0.7,1.000,34.5841,31.6873,16,24.00,68.70,6.83,-0.00
54000,685.91,110,+0.7,1.000,34.5841,31.6872,16,31.11,68.70,7.24,-0.00
55000,685.91,110,+0.7,1.000,34.5842,31.6872,16,38.69,68.70,7.46,-0.00
56000,685.91,110,+0.7,1.000,34.5843,31.6872,16,46.30,68.60,7.68,-0.00
57000,685.91,110,+0.7,1.000,34.5844,31.6872,16,54.07,68.60,7.78,0.10
58000,685.91,110,+0.7,1.000,34.5844,31.6872,17,61.75,68.60,7.87,0.10
59000,685.91,110,+0.7,1.000,34.5845,31.6871,17,69.48,68.60,7.87,-0.00
60000,700.93,110,+0.7,1.000,34.5846,31.6871,17,77.52,68.60,7.97,-0.00
61000,700.93,110,+0.7,1.000,34.5847,31.6871,17,85.36,68.70,7.97,-0.00
62000,700.93,110,+0.7,1.000,34.5848,31.6871,17,93.24,68.80,7.87,-0.00
63000,700.93,110,+0.7,1.000,34.5848,31.6871,17,101.24,68.80,7.97,-0.00
64000,700.93,110,+0.7,1.000,34.5849,31.6870,17,109.14,68.80,7.97,-0.00
65000,605.59,110,+0.7,1.000,34.5850,31.6870,17,117.16,68.80,8.22,-0.00
66000,509.23,110,+0.7,1.000,34.5851,31.6870,17,125.62,68.60,8.73,-0.10
67000,498.32,110,+0.7,1.000,34.5852,31.6870,19,134.47,68.60,9.17,-0.00
68000,456.97,110,+0.7,1.000,34.5853,31.6869,19,144.23,68.70,9.52,-0.00
69000,456.97,110,+0.7,1.000,34.5854,31.6869,18,153.70,68.90,9.65,-0.00
70000,456.97,110,+0.7,1.000,34.5855,31.6869,19,163.03,68.60,7.66,-0.00
71000,456.97,110,+0.7,1.000,34.5855,31.6869,19,168.13,68.90,4.05,0.10
72000,456.97,110,+0.7,1.000,34.5855,31.6869,19,170.78,69.20,1.49,-0.10
73000,456.97,110,+0.7,1.000,34.5855,31.6869,19,171.31,69.30,0.32,-0.00
74000,456.97,110,+0.7,1.000,34.5855,31.6869,19,171.54,69.10,0.10,-0.10
75000,456.97,110,+0.7,1.000,34.5855,31.6869,19,171.66,68.70,0.00,-0.00
76000,456.97,110,+0.7,1.000,34.5855,31.6869,19,170.20,68.70,2.62,0.10
77000,456.97,110,+0.7,1.000,34.5855,31.6869,19,166.09,69.00,4.71,-0.00
78000,456.97,110,+0.7,1.000,34.5854,31.6869,18,160.49,69.10,6.07,-0.00
79000,456.97,110,+0.7,1.000,34.5854,31.6869,18,153.58,69.10,7.12,-0.00
80000,456.97,110,+0.7,1.000,34.5853,31.6869,21,146.07,69.00,7.78,-0.00
81000,456.97,110,+0.7,1.000,34.5852,31.6869,21,137.72,68.80,8.29,0.10
82000,456.97,110,+0.7,1.000,34.5851,31.6870,21,129.44,68.80,8.26,0.10
83000,456.97,110,+0.7,1.000,34.5851,31.6870,21,123.42,68.50,3.49,-0.00
84000,456.97,110,+0.7,1.000,34.5850,31.6870,20,122.62,68.50,0.10,-0.00
85000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.68,68.60,0.00,-0.10
86000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.72,68.60,0.00,-0.00
87000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.60,68.70,0.00,-0.00
88000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.62,68.70,0.00,-0.10
89000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.59,68.70,0.00,-0.00
90000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.54,68.60,0.00,-0.00
91000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.51,68.70,0.00,-0.00
92000,456.97,110,+0.7,1.000,34.5850,31.6870,21,122.45,68.60,0.00,-0.10
93000,456.97,110,+0.7,1.000,34.5850,31.6870,21,121.45,68.50,2.21,-0.00
94000,456.97,110,+0.7,1.000,34.5850,31.6870,21,117.81,68.60,4.27,-0.00
95000,456.97,110,+0.7,1.000,34.5849,31.6870,21,112.56,68.70,5.76,-0.00
96000,447.17,110,+0.7,1.000,34.5849,31.6870,20,106.18,68.80,6.48,-0.10
97000,447.17,110,+0.7,1.000,34.5848,31.6870,21,99.50,66.90,6.77,-2.20
98000,447.17,110,+0.7,1.000,34.5847,31.6871,21,92.14,64.60,7.43,-2.10
99000,447.17,110,+0.7,1.000,34.5847,31.6871,21,84.26,61.50,7.97,-3.00
100000,437.59,110,+0.7,1.000,34.5846,31.6871,21,75.79,58.30,8.66,-3.00
101000,437.59,110,+0.7,1.000,34.5845,31.6871,21,66.79,55.50,8.98,-2.90
102000,437.59,110,+0.7,1.000,34.5844,31.6872,21,57.68,53.00,8.63,-2.50
