Timestamp,SS,ISO,EV,DZOOM,GPS_LON [°],GPS_LAT [°],GPS_ALT,D [m],H [m],H.S [m/s],V.S [m/s]
0,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
1000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
2000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
3000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
4000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
5000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.41,-0.00
6000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.22,-0.00
7000,414.52,110,+0.7,1.000,n/a,n/a,8,"n/a, H 0.50",0.50,0.00,-0.00
8000,414.52,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.00,-0.00
9000,414.52,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.00,-0.00
10000,414.52,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.00,-0.00
11000,414.52,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.00,-0.00
12000,414.52,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.20,-0.00
13000,405.64,110,+0.7,1.000,n/a,n/a,9,"n/a, H 0.50",0.50,0.00,-0.00
